feature,mean_abs_shap_value
Protein_OHE_356,0.11198792
Protein_OHE_786,0.089745514
Protein_OHE_290,0.0784772
MACCS_132,0.055698436
TTF_382,0.05473738
Protein_OHE_930,0.05213139
MACCS_20,0.05139869
Protein_OHE_673,0.049478773
MACCS_143,0.047836352
Protein_OHE_576,0.0468064
TTF_1534,0.04522293
Protein_OHE_892,0.043588106
Protein_OHE_601,0.039794005
Protein_OHE_710,0.039098028
TTF_617,0.037374448
MACCS_50,0.037144948
Protein_OHE_613,0.036251716
MACCS_146,0.033406705
TTF_509,0.033383884
MACCS_97,0.032170337
Protein_OHE_165,0.031352084
MACCS_82,0.03094923
Protein_OHE_958,0.030817062
MACCS_149,0.029840894
Protein_OHE_101,0.029755987
MACCS_55,0.026922759
Protein_OHE_777,0.026181856
Protein_OHE_838,0.023806777
Protein_OHE_818,0.02326172
MACCS_150,0.023258159
Protein_OHE_888,0.021552878
Protein_OHE_652,0.021188827
TTF_453,0.021076757
Protein_OHE_221,0.020821223
Protein_OHE_990,0.020517845
Protein_OHE_724,0.020501629
Protein_OHE_335,0.020263406
Protein_OHE_725,0.020234529
MACCS_79,0.0201258
MACCS_166,0.0200216
Protein_OHE_550,0.01976801
TTF_874,0.019501757
Protein_OHE_305,0.019218076
Protein_OHE_690,0.019067694
Protein_OHE_898,0.018959094
Protein_OHE_326,0.018942865
Protein_OHE_730,0.018756231
MACCS_153,0.01835733
MACCS_94,0.018326355
Protein_OHE_235,0.017988464
TTF_334,0.017899456
MACCS_158,0.017569285
MACCS_116,0.017167866
TTF_637,0.017131133
Protein_OHE_415,0.017085783
Protein_OHE_517,0.017011238
Protein_OHE_52,0.016875908
Protein_OHE_735,0.016738256
Protein_OHE_55,0.016647577
Protein_OHE_274,0.016478634
TTF_381,0.0161607
TTF_1697,0.01615287
MACCS_164,0.016114667
Protein_OHE_130,0.01611096
Protein_OHE_23,0.016064351
Protein_OHE_226,0.016047481
Protein_OHE_953,0.01587495
Protein_OHE_986,0.015768163
Protein_OHE_155,0.015718775
MACCS_70,0.015313247
Protein_OHE_156,0.015219869
TTF_413,0.015214133
Protein_OHE_350,0.015204448
Protein_OHE_62,0.014887312
Protein_OHE_832,0.014838045
Protein_OHE_58,0.014627466
MACCS_104,0.014521127
Protein_OHE_992,0.014479449
MACCS_95,0.014459812
Protein_OHE_181,0.014426268
Protein_OHE_785,0.014416064
MACCS_137,0.014173026
TTF_1530,0.01413425
TTF_697,0.0139877265
Protein_OHE_41,0.013807413
TTF_113,0.013782071
TTF_733,0.013764997
Protein_OHE_537,0.013673007
Protein_OHE_461,0.0136037925
Protein_OHE_641,0.013515842
Protein_OHE_330,0.013501847
Protein_OHE_706,0.013198622
Protein_OHE_92,0.013115431
